,number,title,authors,info,url
0,1501,АНАЛИЗ РЫНКА ОБЪЕКТНО-РЕЛЯЦИОННЫХ ПРЕОБРАЗОВАТЕЛЕЙ СОВМЕСТИМЫХ С.NET,"Муканов Т.А., Попугаев Д.Г., Шабанов А.П.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 823-827.",https://www.elibrary.ru/item.asp?id=54295083
1,1502,ПОДДЕРЖКА ПРИНЯТИЯ РЕШЕНИЙ В МЕДИЦИНСКИХ ИНФОРМАЦИОННЫХ СИСТЕМАХ,"Олимпиев А.А., Семенович Е.М.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 830-833.",https://www.elibrary.ru/item.asp?id=54295085
2,1503,"СОВРЕМЕННЫЕ ОТЕЧЕСТВЕННЫЕ АЛГОРИТМЫ СИММЕТРИЧНОГО ШИФРОВАНИЯ, ИХ СРАВНИТЕЛЬНЫЙ АНАЛИЗ И ПЕРСПЕКТИВЫ ПРИМЕНЕНИЯ","Перевозник Ю.Я., Фоменкова А.П.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 837-840.",https://www.elibrary.ru/item.asp?id=54295086
3,1504,НАСТРОЙКА WEBSOCKETS-СЕРВЕРА,"Поведайко М.Д., Тахтарова А.С.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 840-844.",https://www.elibrary.ru/item.asp?id=54295087
4,1505,ОРГАНИЗАЦИЯ ДАННЫХ В ГЕОИНФОРМАЦИОННЫХ СИСТЕМАХ С ПРИМЕНЕНИЕМ ОБЪЕКТНОГО ПОДХОДА,Прокофьев П.А.,"В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 848-853.",https://www.elibrary.ru/item.asp?id=54295089
5,1506,РЕКУРРЕНТНОЕ ОЦЕНИВАНИЕ ПАРАМЕТРОВ МОДЕЛЕЙ ВРЕМЕННЫХ РЯДОВ ПРИ АНАЛИЗЕ БОЛЬШИХ ДАННЫХ,"Птицын Н.А., Птицына Л.К.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 853-857.",https://www.elibrary.ru/item.asp?id=54295090
6,1507,ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ: ОТ ТЕОРИИ К ПРАКТИКЕ,"Аль-Нами Б.А., Васильев В.В., Мелехов О.С.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 85-88.",https://www.elibrary.ru/item.asp?id=54294911
7,1508,РАЗВИТИЕ ИНТЕЛЛЕКТУАЛЬНЫХ СИСТЕМ ЭКОЛОГИЧЕСКОГО МОНИТОРИНГА,"Птицына Л.К., Рожкова Д.А.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 858-863.",https://www.elibrary.ru/item.asp?id=54295091
8,1509,РАЗРАБОТКА ОНТОЛОГИИ МЕТОДОВ И СРЕДСТВ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА,"Птицына Л.К., Токмаков В.Р.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 863-866.",https://www.elibrary.ru/item.asp?id=54295092
9,1510,РАЗРАБОТКА ИНФОРМАЦИОННОЙ СИСТЕМЫ ГАСТРОНОМИЧЕСКИХ РЕКОМЕНДАЦИЙ,"Раковский О.В., Талисман В.Г.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 866-870.",https://www.elibrary.ru/item.asp?id=54295093
10,1511,ПРИМЕНЕНИЕ ОБЛАЧНЫХ ТЕХНОЛОГИЙ В СФЕРЕ БИЗНЕСА,"Синчугова П.С., Тарасов В.А.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 870-873.",https://www.elibrary.ru/item.asp?id=54295160
11,1512,АСПЕКТЫ РАЗРАБОТКИ ШРИФТА С ИСПОЛЬЗОВАНИЕМ НЕЙРОСЕТИ,"Стахира Я.П., Фёдорова А.В.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 881-884.",https://www.elibrary.ru/item.asp?id=54295096
12,1513,РАЗРАБОТКА ПРОЦЕССА ДОСТАВКИ ГРУЗОВ НА ОСНОВЕ ИСПОЛЬЗОВАНИЯ СОВРЕМЕННЫХ IT-ТЕХНОЛОГИЙ,"Фёдорова М.В., Целищев А.С.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 885-888.",https://www.elibrary.ru/item.asp?id=54295097
13,1514,АНАЛИЗ ТЕХНОЛОГИЙ HONEYPOT И DECEPTION TECHNOLOGY: ОПИСАНИЕ И ПРИМЕНЕНИЕ,"Федорченко Е.В., Хачатрян А.А.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 888-891.",https://www.elibrary.ru/item.asp?id=54295098
14,1515,ОСНОВНЫЕ МЕТОДЫ РАЗРАБОТКИ РЕКОМЕНДАТЕЛЬНЫХ СИСТЕМ,"Филиппов Ф.В., Шульгин Ф.Э.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 892-896.",https://www.elibrary.ru/item.asp?id=54295099
15,1516,МЕТОДЫ ОБНАРУЖЕНИЯ И ПРЕДОТВРАЩЕНИЯ КИБЕРАТАК В КОРПОРАТИВНЫХ ИНФОРМАЦИОННЫХ СИСТЕМАХ,"Аль-Нами Б.А., Васильев М.И., Гафурова А.Р.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 89-91.",https://www.elibrary.ru/item.asp?id=54294912
16,1517,НЕЙРОСЕТИ - КЛЮЧ К БУДУЩЕМУ,"Аль-Нами Б.А., Вильготский Е.П.","В сборнике: Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2023). Сборник научных статей XII Международной научно-технической и научно-методической конференции. В 4-х томах. Под редакцией С.И. Макаренк, сост. В.С. Елагин, Е.А. Аникевич. Санкт-Петербург, 2023.  С. 92-97.",https://www.elibrary.ru/item.asp?id=54294913
